point_id,vthn,vthp,u0n,u0p,rdswn,rdswp,vsatn,vsatp,eta0n,eta0p,ws0,ws1,ws2,ws3
p000000,0.4234365103953708,-0.42734977576274563,0.046858571953786975,0.02124468454769843,91.63850698784935,127.92473890211797,79428.71159926556,80946.4013602892,0.08076877141324412,0.07389895765603924,1.0566426349426783,1.048930039269866,1.075269237719021,1.0956752136498844
p000001,0.4385851188093784,-0.45135080113004744,0.05478771426138644,0.020220264288295486,91.20594484135992,124.6407448487266,75180.50073232152,80374.61532224387,0.08146647392801054,0.07495117607553876,0.9751297177920827,0.9206519862528096,1.0072584578242845,0.9768702246382384
p000002,0.4412218319567484,-0.4307630137474692,0.04604202080639133,0.018848057445451528,106.33016537226798,109.8201735517741,86962.93392030598,84348.61536325897,0.07227588612751211,0.08752157800195015,0.9846705970718989,1.090292830079449,1.0123878226111014,0.9982420419923383
p000003,0.4749397065793697,-0.46541460992979133,0.05484756025913967,0.02080731246380304,91.72541980599175,108.02162809816494,85199.81658239433,72555.11784205357,0.08242113130239512,0.08757409653644488,0.9347218087527162,0.902933642790013,0.9916662275932282,1.0172604633230784
p000004,0.45698540930683473,-0.465911144162913,0.049061878710332484,0.01801914791176094,107.26589431331558,119.19930828754309,83115.11660361086,74228.42539120631,0.08333318407117565,0.07485826349247236,0.9374873353706881,1.0402740462526263,0.9631431572584296,0.9591554539599071
p000005,0.47376905242998535,-0.4381974897734844,0.04657364419129499,0.02006637420638523,91.68393069614235,129.30517116789485,79761.97007007022,73254.89821693697,0.07687436011901222,0.07357256779630757,0.9727784107841853,1.0596385218468038,1.067993072579991,0.970853196331212
p000006,0.4465074290127994,-0.47904816243924914,0.04937462150229791,0.020943994360847706,102.1859029521953,121.51247607270275,76798.92835420776,81477.17113970045,0.0870059807564787,0.08185168528002226,1.013155332028805,1.091055519464482,1.0543354831719607,1.0925722597339191
p000007,0.4641178313591029,-0.43156683286764874,0.04949214918349994,0.019232511234166035,96.9417888507346,130.34880300148794,86395.9223174029,81164.88618385357,0.07726865339291364,0.08010016161622181,1.0272218652004599,0.9370005571611447,1.0919616786845259,1.0474802432110324
p000008,0.46085728681887345,-0.4537995112652721,0.0502308042639171,0.02147813230556178,91.3337205920235,110.19492264743913,73047.53652824476,83476.48983477194,0.0787847755593915,0.07439722649693167,0.9478545830807871,0.9383677961468511,1.039823965864869,1.0198971351913233
p000009,0.43898190954296984,-0.4207955777282331,0.05007338760665118,0.021098741818180097,95.67490815540286,127.7121304939927,84984.83035276987,85567.69622768289,0.07539331711668104,0.08587453937288034,1.0764295775922734,1.0514386389337016,1.0973274737910053,1.0625368133664146
