point_id,vthn,vthp,u0n,u0p,rdswn,rdswp,vsatn,vsatp,eta0n,eta0p,ws0,ws1,ws2,ws3
p000000,0.4512648305109604,-0.4371232877505891,0.05447222792451256,0.01964222763349697,95.09358841666251,125.06632680402315,87504.44732201265,75147.44317869641,0.08611902410710817,0.07237550013566066,0.9297506302192986,1.0376459501931772,0.9530319805939191,1.02285909173834
p000001,0.4416960313164332,-0.4532675514368949,0.054724914205196845,0.020404897023237323,97.57610908549518,116.85102835365008,75478.12811154114,77062.76040855735,0.08043524468960005,0.07660798113098786,1.017899435254323,0.9826323696193678,1.0415687192824925,1.0547795127571304
p000002,0.4649176994994061,-0.4586546676624051,0.046727852190048734,0.018425943840254033,104.78000927547589,113.35504216102532,78677.7309537232,74876.70657586752,0.0800843080245501,0.0779702010164763,1.088283844172778,0.9342640679167451,1.0713255540580897,0.9948407842262024
p000003,0.45667128430832954,-0.4725006926942673,0.047759465422216825,0.01891063529661248,108.53063414393735,108.96779365498017,86118.97928599932,76162.81046463808,0.07501443447319939,0.07850220364431539,1.0371247722231445,1.0550425731897928,0.925323047388488,1.086631415025111
p000004,0.4288751727190815,-0.44641858129778245,0.05207672215999144,0.018133164379206663,97.82591893703801,114.04744445207079,81628.12558151649,75439.64776993841,0.07378942315750253,0.08789107190544516,0.9015723134196081,0.9008414964158374,1.0885479940738818,1.064391765089301
p000005,0.4206297622857061,-0.47532511469164346,0.045986391342465655,0.0207865039080629,91.57719414651001,124.15476689493943,73421.27547397523,86011.61677130454,0.08229190662172703,0.07528309275647427,1.0738836304791741,1.0747705751756211,0.9202321542776732,1.0906466519882607
p000006,0.4213878077668802,-0.4232222860558358,0.047359720325786,0.02076627523936582,94.63586226215554,112.08739725960683,85948.72722374792,86077.07228885492,0.08597611965714602,0.08635416417437207,0.9394991845301803,1.018426660805373,1.0827542532567387,0.9215850792099862
p000007,0.46812422049213187,-0.43730854524382734,0.05345248671975372,0.01818899910651512,107.54347614911727,122.48052288265656,75740.43277100986,87484.79697778857,0.0742163560993427,0.0815767729008719,0.9369761175948902,0.9917068958553927,1.0460596227919086,1.0478662646431864
p000008,0.4736271953963182,-0.42787136856370245,0.04908658978028038,0.01880149311864698,100.57080509450454,128.01324363712268,87896.27598694063,86794.7664916199,0.08277948353215947,0.07472720243122993,1.0558060639899538,0.9372164390857958,1.0958492461173266,0.9310480835478807
p000009,0.46113088651321543,-0.45951877739644703,0.04550711730634588,0.020092225027548007,94.30688602336927,120.88687407697961,76243.39035324246,75871.08660228677,0.0777503776715476,0.08160960817962691,0.9585705189689077,0.9000299303574105,0.9264519179212589,1.0399229736609898
p000010,0.4540444433755069,-0.445262487485229,0.04737869162646847,0.018332848775408413,105.74139629776036,121.14472570783518,79112.57177022696,83688.40421402943,0.07548598298302227,0.07706107235056837,1.066898081309466,1.0980220808569094,1.0324536632477501,0.9884622483738883
p000011,0.473232424093703,-0.43391134824729866,0.05301177379434202,0.019130334161729566,105.83447483771815,116.28629336043042,87760.9333557709,72638.98288984381,0.08109695335892841,0.07942133790694351,0.980245390866018,0.9505882583911015,0.9286924783693966,1.0253284893467645
p000012,0.4457378098221248,-0.4359150235857956,0.04608142740860022,0.019018886208324128,100.75969591064674,128.96916030165517,82272.58300827107,84638.78018812819,0.08579987020450926,0.07369176005954109,1.0060757674169805,0.9900938192838972,0.9695756537277154,0.9446384011908873
p000013,0.450369975725075,-0.4340934330331116,0.053082025219420834,0.01965783902866842,102.06972799660751,109.35921718691797,72763.61519249671,85827.9693431095,0.08505962345766829,0.07482114139059123,0.9824837531255064,0.9662477929617043,1.0981016814617566,0.9828364545623294
p000014,0.4258915021019474,-0.4298169005520524,0.04816464121721414,0.019412399622300285,99.43601862218529,123.64500754437195,73588.8345239615,74235.51483267505,0.08636013839782057,0.08647763798098745,1.058290939332227,1.0796556259643169,0.9745674723343435,1.029143593311738
p000015,0.42792153684236295,-0.47714511023425005,0.05421779283834248,0.020563508130432343,98.04342828235269,113.19830233631106,80985.01525667377,79777.18676079558,0.07848714286478277,0.07685709880027705,0.9639936227934456,0.9815771936953717,1.0154306890387488,1.021618732310723
p000016,0.47674935245046757,-0.44581627164719484,0.046233018664728794,0.02019534276942586,109.31106631417734,109.00832995046163,87776.50181039987,86663.1202562771,0.07918856260903656,0.07525001670998177,1.094879537368234,0.9930059052047676,1.055170189845112,0.9216318595768634
p000017,0.4428726900598775,-0.4352500826314506,0.04722505765736591,0.01991241612729655,100.6318544419969,127.30887342008364,83511.47993242816,84911.69316689685,0.07343984876549181,0.08620200022287704,1.080573450728747,1.0541935177168966,1.086358713999735,0.9250482907726134
p000018,0.4660471620793257,-0.47550367160792506,0.0451853740621986,0.02110828799844563,96.20535360271639,125.61571421186781,87952.39423821724,84254.51210770497,0.08454439860212404,0.08585879334913957,1.0964529786623103,1.032720695443232,1.0612142051958302,0.9031419874766454
